Age,Gender,Location,Monthly_Income,Education_Level,Platforms_Used,Influencer_Follow_Frequency,Influencer_Type,Product_Discovery_Mode,Num_Influencer_Purchases,Trust_Score,Influencer_Product_Categories,Purchase_Motivators,Purchase_Concerns,Try_New_Brand_Likelihood,Avg_Monthly_Influencer_Spend,Willingness_to_Spend_on_New,Buy_Now_Link_Likelihood,Prefer_Brand_Transparency,ROI_Transparency_Importance,Biggest_Purchase_Factor,Best_Value_Influencer_Tier,Engagement_with_Influencer_Content,Feels_Oversaturated,Suggestions_Concerns
31,Female,Other,13700,Graduate,"YouTube, Instagram",Often,Mega-influencers (Over 1 million followers),Through influencer content,2,4,"Food & Beverages, Home & Living","Discounts or offers, Brand reputation, Peer influence",Authenticity of product,4,4957,7829,5,Yes,3,Other,Mid-tier influencers,Sometimes,No,Limit sponsored content
39,Female,Sydney,21500,Graduate,"Twitter, Others, Instagram",Always,"Mid-tier influencers (10,000 to 100,000 followers)",Through influencer content,2,2,"Beauty, Technology","Positive product reviews, Quality of content","Price, Delivery issues",4,1762,1700,4,Yes,5,Price,Micro-influencers,Never,Yes,Lower prices
29,Male,Dubai,5600,Graduate,"Others, Twitter, Instagram",Sometimes,"Mid-tier influencers (10,000 to 100,000 followers)",Through influencer content,2,2,Fashion,"Peer influence, Positive product reviews","Return policies, Delivery issues",5,1407,1589,4,Yes,5,Convenience,Mid-tier influencers,Rarely,No,Collaborate with trusted influencers
38,Female,Berlin,13100,Postgraduate,"TikTok, Others",Always,"Macro-influencers (100,000 to 1 million followers)",Through influencer content,2,4,Fitness,"Positive product reviews, Peer influence, Discounts or offers",Authenticity of product,3,1946,1855,3,Yes,4,Product quality,Micro-influencers,Always,Yes,Limit sponsored content
23,Female,London,12600,Graduate,"Others, Twitter, TikTok",Sometimes,Mega-influencers (Over 1 million followers),Through influencer content,3,1,"Home & Living, Beauty",Discounts or offers,"Delivery issues, Price",3,733,1186,4,Yes,3,Price,Mid-tier influencers,Sometimes,No,Limit sponsored content
33,Female,Mumbai,7900,Postgraduate,"TikTok, YouTube, Others",Often,"Micro-influencers (1,000 to 10,000 followers)",Online search,0,4,"Home & Living, Beauty","Positive product reviews, Quality of content",Authenticity of product,4,1501,2247,3,Yes,4,Other,Micro-influencers,Sometimes,Yes,Need more transparency
33,Male,London,15900,Postgraduate,"TikTok, Instagram, YouTube",Sometimes,"Macro-influencers (100,000 to 1 million followers)",Advertisements,3,5,"Beauty, Fashion",Peer influence,"Price, Product quality concerns",2,9581,12318,5,Yes,1,Trust,Macro-influencers,Often,No,Need more transparency
31,Female,Dubai,15300,Graduate,"Instagram, Others, Facebook",Rarely,"Mid-tier influencers (10,000 to 100,000 followers)",Online search,0,4,Beauty,Quality of content,"Return policies, Product quality concerns, Price, Delivery issues",3,2215,3739,4,Yes,1,Price,Micro-influencers,Often,Yes,Lower prices
23,Male,Other,19900,Graduate,"YouTube, Others, Twitter",Often,"Micro-influencers (1,000 to 10,000 followers)",Through influencer content,3,3,Others,Discounts or offers,"Delivery issues, Return policies",4,3244,2933,3,Yes,4,Other,Macro-influencers,Sometimes,Yes,No suggestions
30,Male,Mumbai,23900,Graduate,"YouTube, Instagram, Facebook, Twitter",Rarely,"Micro-influencers (1,000 to 10,000 followers)",Online search,1,4,Food & Beverages,"Discounts or offers, Peer influence","Authenticity of product, Price",3,1725,2297,5,Yes,3,Trust,Micro-influencers,Sometimes,Yes,Lower prices
31,Male,Mumbai,6300,Postgraduate,"Others, Twitter",Sometimes,"Mid-tier influencers (10,000 to 100,000 followers)",Through influencer content,2,5,Food & Beverages,Brand reputation,"Price, Product quality concerns",4,1157,1192,5,Yes,3,Price,Micro-influencers,Sometimes,Yes,No suggestions
